sentimen,Tweet,sentimen-text,Target
 2,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,Negative,Negative
 2,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati ,Negative,Negative
 1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p ,Positive,Positive
 2,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,Negative,Negative
 2,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,Negative,Negative
 1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,Positive,Positive
 2,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' ,Negative,Negative
 2,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,Negative,Negative
 1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla ,Positive,Positive
 2,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,Negative,Negative
 1,aah kamu aja mas aku lebih suka diayomi ,Positive,Positive
 1,mau bantu aku nabung ,Positive,Negative
 2,kamu jahat dubu lt ,Negative,Negative
 2,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,Negative,Negative
 1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya ,Positive,Negative
 1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha ,Positive,Positive
 2,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin ,Negative,Negative
 2,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil ,Negative,Negative
 1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,Positive,Negative
 1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,Positive,Negative
 2,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t ,Negative,Negative
 1,diremes di enyot ngedusel dusel di nenen kamu wah mantap,Positive,Positive
 2,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe ,Negative,Negative
 2,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,Negative,Negative
 2,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib ,Negative,Negative
 2,pacar kamu sibuk ya kok tumben komen wassap story aku ,Negative,Negative
 2,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber ,Negative,Negative
 2,lepaskanlah dia tidak mau kamuadarlah jangan membatu ,Negative,Negative
 2,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,Negative,Negative
 2,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,Negative,Negative
 2,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk ,Negative,Negative
 1,pilih salah satu yang paling kamu nyaman,Positive,Positive
 2,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,Negative,Negative
 1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego ,Positive,Negative
 1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal ,Positive,Negative
 2,kamu ga laku laku unn ,Negative,Negative
 2,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada ,Negative,Negative
 2,iyaaaa kasian donghae nya aku kelelep ,Negative,Negative
 1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm ,Positive,Negative
 2,aku juga pernah dah kek gitu 2x gaada hasil percumaa,Negative,Negative
 2,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana ,Negative,Negative
 1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau ,Positive,Positive
 2,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,Negative,Positive
 2,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,Negative,Negative
 2,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,Negative,Positive
 1,aku nk walk in ajelah senang,Positive,Positive
 1,jadilah seperti aku,Positive,Positive
 1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat ,Positive,Negative
 2,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,Negative,Negative
 1,hahaa aku juga ga ngerti tadi tp asal jwb aja,Positive,Negative
 1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men ,Positive,Negative
 1,aku terhibur hahahahahahahahahahahaha,Positive,Positive
 1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber ,Positive,Positive
 2,makin lama rasa apebende laa aku melalut ni i better stop ,Negative,Negative
 1,iya lucu emang dia aku temenan di ig,Positive,Positive
 2,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak ,Negative,Negative
 2,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negative,Negative
 1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,Positive,Positive
 2,aku tak faham betul lelaki tak suka perempuan pakai makeup ,Negative,Negative
 2,wasyuu ,Negative,Negative
 1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew ,Positive,Negative
 1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit ,Positive,Positive
 1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,Positive,Positive
 2,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,Negative,Negative
 1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun ,Positive,Positive
 2,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin ,Negative,Negative
 2,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,Negative,Negative
 2,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,Negative,Negative
 2,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan ,Negative,Negative
 2,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i ,Negative,Negative
 2,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis ,Negative,Negative
 2,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Negative,Negative
 2,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,Negative,Negative
 2,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai ,Negative,Negative
 1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,Positive,Negative
 2,sudah waktunya aku mulai menjalani hidupku sendiri mello death note ,Negative,Negative
 2,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri ,Negative,Negative
 2,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,Negative,Negative
 2,mu gemes banget adminnya aku ga jadi marah ,Negative,Negative
 1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,Positive,Positive
 2,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt ,Negative,Negative
 2,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,Negative,Negative
 2,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape ,Negative,Positive
 2,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin ,Negative,Negative
 1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,Positive,Positive
 1,segitu kangennya ya mba sama aku ,Positive,Positive
 2,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,Negative,Negative
 1,hidup ini adalah pilihan yang harus kamu pilih,Positive,Positive
 2,laa haha sorry2 akualah paham ,Negative,Negative
 2,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau ,Negative,Negative
 1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah ,Positive,Negative
 2,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negative,Negative
 2,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be ,Negative,Negative
 2,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,Negative,Negative
 2,kok gitu sama aku,Negative,Negative
 2,kukira aku introvert ternyata juga pedopil ,Negative,Negative
 1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku ,Positive,Positive
 2,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan ,Negative,Negative
 2,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada ,Negative,Negative
 1,okaay nggapapaa aku minta doyoung ajaa makasih yaa ,Positive,Negative
 2,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Negative,Negative
 2,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat ,Negative,Negative
 1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,Positive,Negative
 2,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang,Negative,Negative
 2,rama gak usah ganggu aku sama karya ya tolong ,Negative,Negative
 2,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia ,Negative,Negative
 1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,Positive,Negative
 2,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk ,Negative,Negative
 1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca ,Positive,Positive
 2,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak ,Negative,Positive
 2,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt ,Negative,Negative
 1,jika aku jadi ratumu maka pasti kau rajanya ya kan ,Positive,Negative
 2,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr ,Negative,Negative
 2,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih ,Negative,Negative
 1,aku penggemar mie burung dara enaknya nyambung terus,Positive,Positive
 2,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk ,Negative,Negative
 2,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi ,Negative,Negative
 1,be strong bro ,Positive,Positive
 1,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu ,Positive,Negative
 2,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati ,Negative,Negative
 1,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani ,Positive,Positive
 2,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negative,Negative
 1,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n ,Positive,Negative
 1,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f ,Positive,Negative
 1,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak ,Positive,Positive
 2,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm ,Negative,Negative
 1,stay beside you was my job hehee sayang kamu ,Positive,Positive
 2,dah lah cpk aku,Negative,Negative
 2,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu ,Negative,Negative
 1,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu ,Positive,Positive
 1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,Positive,Negative
 2,aku ditusuk dr belakang sakit ,Negative,Negative
 2,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang ,Negative,Negative
 2,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe ,Negative,Negative
 2,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' ,Negative,Negative
 1,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya ,Positive,Positive
 2,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi ,Negative,Negative
 1,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti ,Positive,Positive
 1,gilaaa beliin aku dong kak ,Positive,Negative
