id,id_str,tweet,conversation_id,created_at,timezone,place,replies_count,likes_count,retweets_count,user_id,screen_name,name,link,mentions,hashtags,cashtags,urls,photos,quote_url,video,tweet_update_date_time,tweet_id,db_id,tweet_date_time,tweet_date,tweet_time,stemmed,tokenized_tweet,Prediction,Score
1634291179608244224,1634291179608244224,BORNPINKinJAKARTA BORNPINKinJKT BORNPINKJakarta,1634147608615608322,2023-03-30 09:26:25,,,0,0,0,199277992,Fre_Deee,Fredyan Putra,https://twitter.com/Fre_Deee/status/1634291179608244224,,"BORNPINKinJAKARTA,BORNPINKinJKT,BORNPINKJakarta",,,,,0,2023-03-16 09:28:43,85931747,87247,2023-03-11 03:32:35,,,bornpinkinjakarta bornpinkinjkt bornpinkjakarta,"{'bornpinkjakarta', 'bornpinkinjkt', 'bornpinkinjakarta'}",Neutral,0.0
1634292305791442946,1634292305791442946,WTS WANT TO SALE TIKET BLACKPINK BORN PINK IN JAKARTA CAT 1 RIGHT Membership DAY 1 Underprice Rp 2 150k Ready 1 Tix E Tiket Done Cek All Proof Di DM Boleh yaa Secured More Info dll dm aja ya ngga jadii nonton t Jual rugi WTB WTS BP DAY 1 BORNPINKJakarta,1634292305791442946,2023-03-30 09:26:25,,,1,0,0,2283484963,peace_3to3,njos,https://twitter.com/peace_3to3/status/1634292305791442946,,BORNPINKJakarta,,,,https://twitter.com/dancowforlyfe/status/1601871477636501504,0,2023-03-16 09:28:43,85931748,87247,2023-03-11 03:37:04,,,wts want to sale tiket blackpink born pink in jakarta cat right membership day underprice rp k ready tix e tiket done cek all proof di dm boleh yaa secured more info dll dm aja ya ngga jadii nonton t jual rugi wtb wts bp day bornpinkjakarta,"{'cat', 'ngga', 'right', 'in', 'jakarta', 'ya', 't', 'bornpinkjakarta', 'wtb', 'done', 'pink', 'bp', 'tiket', 'want', 'all', 'born', 'dll', 'nonton', 'info', 'tix', 'more', 'membership', 'proof', 'wts', 'e', 'to', 'rp', 'rugi', 'underprice', 'aja', 'dm', 'secured', 'sale', 'blackpink', 'yaa', 'cek', 'jual', 'k', 'jadii', 'day', 'ready'}",Neutral,0.0
1634304670876450817,1634304670876450817,WTS BORNPINKJakarta Cat 1 Day 1 single digit row Seat L8x best view deket pager best seat hasil dr beli dimembership harga 2 3 last price udah jadi wristband dan bisa cod langsung divenue atau dimanapun Sok dm,1634304670876450817,2023-03-30 09:26:25,,,0,0,0,1441053873750175757,DummyRisman,Dummy risman,https://twitter.com/DummyRisman/status/1634304670876450817,,BORNPINKJakarta,,,https://pbs.twimg.com/media/Fq43b7jXoAEogMf.jpg,,1,2023-03-16 09:28:42,85931749,87247,2023-03-11 04:26:12,,,wts bornpinkjakarta cat day single digit row seat lx best view deket pager best seat hasil dr beli dimembership harga last price udah jadi wristband dan bisa cod langsung divenue atau dimanapun sok dm,"{'langsung', 'cat', 'lx', 'bornpinkjakarta', 'dimembership', 'wristband', 'row', 'day', 'price', 'single', 'udah', 'dimanapun', 'wts', 'harga', 'beli', 'last', 'dr', 'dm', 'divenue', 'best', 'digit', 'cod', 'pager', 'deket', 'seat', 'sok', 'hasil', 'view'}",Neutral,0.0
1634304833804185600,1634304833804185600,WTS Want to Sell Blackpink BORN PINK in Jakarta Tersisa satu tiket CAT 2 RIGHT Day 2 12 Maret 2023 Harga normal COD venue Tanggal 11 12 Maret 2023 BLACKPINKinJAKARTA BLACKPINKjakarta blackpink BORNPINKJAKARTA BORNPINKinJAKARTA tiketblackpink,1634304833804185600,2023-03-30 09:26:25,,,0,0,1,1111130826404564992,boy_blink120323,TIKET BORNPINK IN JAKARTA,https://twitter.com/boy_blink120323/status/1634304833804185600,,"BLACKPINKinJAKARTA,BLACKPINKjakarta,blackpink,BORNPINKJAKARTA,BORNPINKinJAKARTA,tiketblackpink",,,https://pbs.twimg.com/media/Fq43kfXaMAEZ7j9.jpg,,1,2023-03-16 09:28:42,85931750,87247,2023-03-11 04:26:50,,,wts want to sell blackpink born pink in jakarta tersisa satu tiket cat right day maret harga normal cod venue tanggal maret blackpinkinjakarta blackpinkjakarta blackpink bornpinkjakarta bornpinkinjakarta tiketblackpink,"{'cat', 'maret', 'right', 'in', 'jakarta', 'bornpinkjakarta', 'sell', 'pink', 'blackpinkinjakarta', 'blackpinkjakarta', 'tiket', 'venue', 'want', 'bornpinkinjakarta', 'normal', 'tersisa', 'tiketblackpink', 'wts', 'to', 'tanggal', 'harga', 'blackpink', 'cod', 'day', 'born'}",Neutral,0.0
1634325778648420352,1634325778648420352,WTS CAT 2 DAY 1 SN BELASAN COD VENUE GA ADA DUIT NYICIL AJA BISA UNDER PRICE WTSBLACKPINKJAKARTA WTSTIKETBLACKPINK wtsblackpink wtbBLACKPINKjakarta wtbbornpinkjakarta wtbblackpinkinjakarta BLACKPINKinJAKARTA BORNPINKinJKT BORNPINKJakarta,1634325778648420352,2023-03-30 09:26:25,,,0,0,0,1572384292889829376,kimjongdae1999,jongdae,https://twitter.com/kimjongdae1999/status/1634325778648420352,,"WTSBLACKPINKJAKARTA,WTSTIKETBLACKPINK,wtsblackpink,wtbBLACKPINKjakarta,wtbbornpinkjakarta,wtbblackpinkinjakarta,BLACKPINKinJAKARTA,BORNPINKinJKT,BORNPINKJakarta",,,https://pbs.twimg.com/media/Fq5KnsOagAAMU1G.jpg,,1,2023-03-16 09:28:42,85931751,87247,2023-03-11 05:50:04,,,wts cat day sn belasan cod venue ga ada duit nyicil aja bisa under price wtsblackpinkjakarta wtstiketblackpink wtsblackpink wtbblackpinkjakarta wtbbornpinkjakarta wtbblackpinkinjakarta blackpinkinjakarta bornpinkinjkt bornpinkjakarta,"{'bornpinkinjkt', 'cat', 'wtbbornpinkjakarta', 'bornpinkjakarta', 'duit', 'wtsblackpinkjakarta', 'sn', 'blackpinkinjakarta', 'belasan', 'venue', 'wtbblackpinkinjakarta', 'price', 'wtbblackpinkjakarta', 'ga', 'nyicil', 'wts', 'under', 'aja', 'cod', 'wtsblackpink', 'day', 'wtstiketblackpink'}",Neutral,0.0
1634326173714092032,1634326173714092032,wts blackpink born pink jakarta 1 tix cat 4 LEFT day 2 qn A13 udah jadi wb 1 25 jt cod venue dm me BORNPINKinJKT BORNPINKJakarta,1634326173714092032,2023-03-30 09:26:25,,,0,1,0,1283428206213607425,malhaejw0,???????? ⍤⃝♡✢,https://twitter.com/malhaejw0/status/1634326173714092032,,"BORNPINKinJKT,BORNPINKJakarta",,,,https://twitter.com/malhaejw0/status/1634208805264261121,0,2023-03-16 09:28:42,85931752,87247,2023-03-11 05:51:38,,,wts blackpink born pink jakarta tix cat left day qn a udah jadi wb jt cod venue dm me bornpinkinjkt bornpinkjakarta,"{'bornpinkinjkt', 'cat', 'bornpinkjakarta', 'jakarta', 'qn', 'wb', 'pink', 'me', 'venue', 'udah', 'tix', 'wts', 'a', 'jt', 'dm', 'blackpink', 'left', 'cod', 'day', 'born'}",Neutral,0.0
1634326585611526149,1634326585611526149,met pagii SEMUAA yeyy D dayyyy BORNPINKinJKT BornPinkJakarta BornPinkInJakarta BLACKPINKinJAKARTA BLACKPINKjakarta BLACKPINKJKT,1634326585611526149,2023-03-30 09:26:25,,,0,0,0,1291540427863023616,jjennieklim,ara | pcd era????,https://twitter.com/jjennieklim/status/1634326585611526149,,"BORNPINKinJKT,BornPinkJakarta,BornPinkInJakarta,BLACKPINKinJAKARTA,BLACKPINKjakarta,BLACKPINKJKT",,,,,0,2023-03-16 09:28:42,85931753,87247,2023-03-11 05:53:16,,,met pagii semuaa yeyy d dayyyy bornpinkinjkt bornpinkjakarta bornpinkinjakarta blackpinkinjakarta blackpinkjakarta blackpinkjkt,"{'pagii', 'bornpinkinjkt', 'd', 'dayyyy', 'blackpinkinjakarta', 'blackpinkjakarta', 'met', 'blackpinkjkt', 'bornpinkinjakarta', 'bornpinkjakarta', 'semuaa', 'yeyy'}",Neutral,0.0
1634326609984638976,1634326609984638976,gabisa tidur semaleman aaaa dag dig dug buat hari ini BORNPINKinJAKARTA BORNPINKinJKT BORNPINKJakarta,1634326609984638976,2023-03-30 09:26:25,,,0,5,0,1499912925699801090,rcchi_,raicchi,https://twitter.com/rcchi_/status/1634326609984638976,,"BORNPINKinJAKARTA,BORNPINKinJKT,BORNPINKJakarta",,,https://pbs.twimg.com/media/Fq5LY_HaAAAzDsN.jpg,,1,2023-03-16 09:28:42,85931754,87247,2023-03-11 05:53:22,,,gabisa tidur semaleman aaaa dag dig dug buat hari ini bornpinkinjakarta bornpinkinjkt bornpinkjakarta,"{'bornpinkinjkt', 'gabisa', 'bornpinkinjakarta', 'bornpinkjakarta', 'semaleman', 'aaaa', 'dig', 'tidur', 'dug', 'dag'}",Neutral,0.0
1634327550897065984,1634327550897065984,WTS Blackpink Born Pink Underprice Wristband PLATINUM LEFT 2 8jt AR7 COD Venue Spaylater BLACKPINKinJAKARTA BLACKPINK BORNPINKENCORE BLACKPINK WORLDTOUR BORNPINKinJKT BORNPINKJakarta BLACKPINKinJAKARTA WTSBLACKPINKJAKARTA,1634327550897065984,2023-03-30 09:26:25,,,0,0,0,1474969474994376704,anisasuryaniya,Anisa Suryani,https://twitter.com/anisasuryaniya/status/1634327550897065984,,"BLACKPINKinJAKARTA,BLACKPINK_BORNPINKENCORE,BLACKPINK_WORLDTOUR,BORNPINKinJKT,BORNPINKJakarta,BLACKPINKinJAKARTA,WTSBLACKPINKJAKARTA",,,https://pbs.twimg.com/media/Fq5MPwZagAEPdAk.jpg,,1,2023-03-16 09:28:42,85931755,87247,2023-03-11 05:57:07,,,wts blackpink born pink underprice wristband platinum left jt ar cod venue spaylater blackpinkinjakarta blackpink bornpinkencore blackpink worldtour bornpinkinjkt bornpinkjakarta blackpinkinjakarta wtsblackpinkjakarta,"{'bornpinkinjkt', 'bornpinkjakarta', 'wtsblackpinkjakarta', 'wristband', 'pink', 'blackpinkinjakarta', 'ar', 'venue', 'platinum', 'spaylater', 'wts', 'bornpinkencore', 'worldtour', 'jt', 'underprice', 'blackpink', 'left', 'cod', 'born'}",Neutral,0.0
1634327669776224257,1634327669776224257,gabisa tidur ancrittttt bnr bnr deg deg ser bwat ktmu mba mba ini BORNPINKinJAKARTA BORNPINKinJKT BORNPINKJakarta BLACKPINKinJAKARTA,1634327669776224257,2023-03-30 09:26:25,,,1,20,0,1499912925699801090,rcchi_,raicchi,https://twitter.com/rcchi_/status/1634327669776224257,,"BORNPINKinJAKARTA,BORNPINKinJKT,BORNPINKJakarta,BLACKPINKinJAKARTA",,,https://pbs.twimg.com/media/Fq5MWmkacAA8jWf.jpg,,1,2023-03-16 09:28:42,85931756,87247,2023-03-11 05:57:35,,,gabisa tidur ancrittttt bnr bnr deg deg ser bwat ktmu mba mba ini bornpinkinjakarta bornpinkinjkt bornpinkjakarta blackpinkinjakarta,"{'bornpinkinjkt', 'deg', 'blackpinkinjakarta', 'ancrittttt', 'gabisa', 'bwat', 'ser', 'bornpinkinjakarta', 'bornpinkjakarta', 'bnr', 'tidur', 'ktmu', 'mba'}",Neutral,0.0
