NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,Predicted_JENIS,Precision_Product,Precision_Service
ANALISA SAMPEL RBD PALM STEARIN,ANALISA SAMPEL RBD PALM STEARIN,1.0,service,-,1.0
Aflatoxin B1 Qty  1 Sampel  Palm Kernel Expeller PKE Kode Sampel  PKE KCP DUM305 Tanggal Sampling  01 November 2021 Jasa Uji Laboratorium KJU No  XX  XX ,AFLATOXIN B1 QTY  1 SAMPEL  PALM KERNEL EXPELLER PKE  KODE SAMPEL  PKE KCP DUM305 TANGGAL SAMPLING  01 NOVEMBER 2021 JASA UJI LABORATORIUM KJU NO  21110198  9600092328,1.0,service,-,1.0
Analisa  Pengujian INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA dan Analisa  Pengujian 1 Sa,ANALISA  PENGUJIAN INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA DAN ANALISA  PENGUJIAN 1 SA,1.0,service,-,1.0
Discarging Survey of CPO 2999998 MT at Kabil Batam on 1416122021,DISCARGING SURVEY OF CPO 2 999 998 MT AT KABIL BATAM ON 14 16 12 2021,1.0,service,-,1.0
Discarging Survey of CPO 3149193 MT at Kabil Batam on 2628102021,DISCARGING SURVEY OF CPO 3 149 193 MT AT KABIL BATAM ON 26 28 10 2021,1.0,service,-,1.0
KALIBRASI SOUNDING TAPE CPO,KALIBRASI SOUNDING TAPE CPO,1.0,service,-,1.0
Loading Survey of CPKO 1999887 MT and CPO 2503809 MT at Dumai on 1516102021,LOADING SURVEY OF CPKO 1 999 887 MT AND CPO 2 503 809 MT AT DUMAI ON 15 16 10 2021,1.0,service,-,1.0
Loading Survey of CPO 2999998 MT at Dumai on 0607122021,LOADING SURVEY OF CPO 2 999 998 MT AT DUMAI ON 06 07 12 2021,1.0,service,-,1.0
Loading Survey of CPO 3000301 MT at Tayan on 1920102021,LOADING SURVEY OF CPO 3 000 301 MT AT TAYAN ON 19 20 10 2021,1.0,service,-,1.0
POSITIONERP520175209481 MANUFACTURERFLOWSERVE FOR CPO WASHINGFORREF SCPR1000111222,POSITIONER P5 2017 5209481 MANUFACTURER FLOWSERVE FOR CPO WASHING FOR REF SC PR 1000111222,1.0,service,-,1.0
Pengiriman Kecambah Sawit,PENGIRIMAN KECAMBAH SAWIT,1.0,service,-,1.0
Residu Pesticide GMP PKE Qty  1 Sampel  Palm Kernel Expeller PKE Kode Sampel  PKE KCP DUM305 Tanggal Sampling  01 November 2021 Jasa Uji Laboratorium KJU No  XX  XX,RESIDU PESTICIDE GMP PKE  QTY  1 SAMPEL  PALM KERNEL EXPELLER PKE  KODE SAMPEL  PKE KCP DUM305 TANGGAL SAMPLING  01 NOVEMBER 2021 JASA UJI LABORATORIUM KJU NO  21110198  9600092328,1.0,service,-,1.0
SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA  DIV 12345 AKSES CPO DENGAN HASIL PEKERJAAN 25200  HM X RP 375000,SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA  DIV 1 2 3 4 5 AKSES CPO DENGAN HASIL PEKERJAAN 252 00  HM X RP 375 000,1.0,service,-,1.0
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1081230 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1 081 230 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1190024 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 4907412 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 4 907 412 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5276210 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5 276 210 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5701628 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 12217767 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13269963 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13 269 963 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13269963 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13609592 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13 609 592 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7184896 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7 184 896 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7637226 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8113557 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 113 557 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8628950 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 628 950 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8861121 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 861 121 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1998 1458681 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1700094 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1 700 094 KG,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1990593 KG,,1.0,product,0.9872340425531915,-
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 2367230 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 2 367 230 KG,1.0,product,0.9872340425531915,-
Termin 4 7617 Pekerjaan Design and Build Gas Holder Pabrik Kelapa Sawit PKS LIBO,TERMIN 4 7 617  PEKERJAAN DESIGN AND BUILD GAS HOLDER PABRIK KELAPA SAWIT PKS LIBO,1.0,service,-,1.0
Uang Muka II Crude Palm Oil CPO,UANG MUKA II CRUDE PALM OIL CPO,1.0,product,0.9872340425531915,-
5 Bl Blanko Sounding Palm Kernel SCPR  0010662610 ,5 BL BLANKO SOUNDING PALM KERNEL SC PR  0010662610,5.0,service,-,1.0
PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL 18 LTR,PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL 18 LTR,5.0,product,0.9872340425531915,-
MASTER KEY GEMBOK TRUK CPO,MASTER KEY GEMBOK TRUK CPO,7.0,service,-,1.0
10 Bl Blanko Analisa Minyak Sawit Oil Loss SCPR  0010810374 ,10 BL BLANKO ANALISA MINYAK SAWIT OIL LOSS  SC PR  0010810374,10.0,service,-,1.0
MASTER KEY GEMBOK TRUK CPO,MASTER KEY GEMBOK TRUK CPO,11.0,service,-,1.0
20 Bl Blanko Bast Sample Despatch CPO SCPR  0010658424  ,20 BL BLANKO BAST SAMPLE DESPATCH CPO SC PR  0010658424,20.0,service,-,1.0
BLANKO SOUNDING PALM KERNEL,BLANKO SOUNDING PALM KERNEL,20.0,service,-,1.0
Minyak Kelapa Sawit CPO,MINYAK KELAPA SAWIT CPO,50.0,service,-,1.0
CPOCRUDE PALM OIL,CPO CRUDE PALM OIL,93.0,product,0.9872340425531915,-
100 Bl Blanko Rekap Denda Grading TBS Plasma SCPR  XX ,100 BL BLANKO REKAP DENDA GRADING TBS PLASMA SC PR  0010798278,100.0,service,-,1.0
VITAMIN A PALMITATE 17 mIUg 0418579294 FO HS 29362100,VITAMIN A PALMITATE 1 7 M I U  G 0418579294 FO HS 2936 21 00,250.0,product,0.9872340425531915,-
Lebih Kirim Toleransi atas SPJB No  088XXCPOXXX20XX,LEBIH KIRIM TOLERANSI ATAS SPJB NO  088 MMAL CBU CPO X 2021,300.0,service,-,1.0
Lebih Angkut Palm Kernel,LEBIH ANGKUT PALM KERNEL,378.0,service,-,1.0
CPOCrude Palm Oil Kontrak No082XXXXXX20XX,CPO CRUDE PALM OIL KONTRAK NO 082 PSJ C CPO VII 2021,410.0,product,0.9872340425531915,-
