NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,KRITERIA_BARANG
ANALISA SAMPEL RBD PALM STEARIN,ANALISA SAMPEL RBD PALM STEARIN,1,
"Aflatoxin B1, Qty : 1, Sampel : Palm Kernel Expeller (PKE); Kode Sampel : PKE KCP DUM305; Tanggal Sampling : 01 November 2021, Jasa Uji Laboratorium KJU No. : XX / XX ",AFLATOXIN B1 QTY  1 SAMPEL  PALM KERNEL EXPELLER PKE  KODE SAMPEL  PKE KCP DUM305 TANGGAL SAMPLING  01 NOVEMBER 2021 JASA UJI LABORATORIUM KJU NO  21110198  9600092328,1,
"Analisa / Pengujian INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA, dan Analisa / Pengujian 1 Sa",ANALISA  PENGUJIAN INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA DAN ANALISA  PENGUJIAN 1 SA,1,
"Discarging Survey of CPO 2.999,998 MT at Kabil Batam on 14-16/12-2021",DISCARGING SURVEY OF CPO 2 999 998 MT AT KABIL BATAM ON 14 16 12 2021,1,CPO
"Discarging Survey of CPO 3.149,193 MT at Kabil Batam on 26-28/10/2021",DISCARGING SURVEY OF CPO 3 149 193 MT AT KABIL BATAM ON 26 28 10 2021,1,CPO
KALIBRASI SOUNDING TAPE CPO,KALIBRASI SOUNDING TAPE CPO,1,CPO
"Loading Survey of CPKO 1.999,887 MT and CPO 2.503,809 MT at Dumai on 15-16/10/2021",LOADING SURVEY OF CPKO 1 999 887 MT AND CPO 2 503 809 MT AT DUMAI ON 15 16 10 2021,1,
"Loading Survey of CPO 2.999,998 MT at Dumai on 06-07/12/2021",LOADING SURVEY OF CPO 2 999 998 MT AT DUMAI ON 06 07 12 2021,1,
"Loading Survey of CPO 3.000,301 MT at Tayan on 19-20/10/2021",LOADING SURVEY OF CPO 3 000 301 MT AT TAYAN ON 19 20 10 2021,1,
"POSITIONER,P5,2017/5209481 MANUFACTURER:FLOWSERVE FOR CPO WASHING,FOR;REF SC/PR:1000111222",POSITIONER P5 2017 5209481 MANUFACTURER FLOWSERVE FOR CPO WASHING FOR REF SC PR 1000111222,1,
Pengiriman Kecambah Sawit,PENGIRIMAN KECAMBAH SAWIT,1,
"Residu Pesticide GMP (PKE), Qty : 1, Sampel : Palm Kernel Expeller (PKE); Kode Sampel : PKE KCP DUM305; Tanggal Sampling : 01 November 2021, Jasa Uji Laboratorium KJU No. : XX / XX",RESIDU PESTICIDE GMP PKE  QTY  1 SAMPEL  PALM KERNEL EXPELLER PKE  KODE SAMPEL  PKE KCP DUM305 TANGGAL SAMPLING  01 NOVEMBER 2021 JASA UJI LABORATORIUM KJU NO  21110198  9600092328,1,
"SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA : DIV. 1,2,3,4,5 AKSES CPO, DENGAN HASIL PEKERJAAN =252,00  HM X RP. 375.000,-",SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA  DIV 1 2 3 4 5 AKSES CPO DENGAN HASIL PEKERJAAN =252 00  HM X RP 375 000,1,
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1.081.230 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1 081 230 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1.190.024 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 4.907.412 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 4 907 412 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5.276.210 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5 276 210 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5.701.628 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 12.217.767 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13.269.963 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13 269 963 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13.269.963 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13.609.592 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13 609 592 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7.184.896 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7 184 896 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7.637.226 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8.113.557 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 113 557 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8.628.950 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 628 950 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8.861.121 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8 861 121 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1998 1.458.681 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1.700.094 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1 700 094 KG,1,CPO
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1.990.593 KG,,1,TBS
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 2.367.230 KG,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 2 367 230 KG,1,CPO
"Termin 4 (7,617%) Pekerjaan Design and Build Gas Holder Pabrik Kelapa Sawit (PKS) LIBO",TERMIN 4 7 617  PEKERJAAN DESIGN AND BUILD GAS HOLDER PABRIK KELAPA SAWIT PKS LIBO,1,CPO
Uang Muka II Crude Palm Oil (CPO),UANG MUKA II CRUDE PALM OIL CPO,1,CPO
"5 Bl Blanko Sounding Palm Kernel, SC/PR : 0010662610 ",5 BL BLANKO SOUNDING PALM KERNEL SC PR  0010662610,5,
PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL @18 LTR,PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL 18 LTR,5,
MASTER KEY GEMBOK TRUK CPO,MASTER KEY GEMBOK TRUK CPO,7,CPO
"10 Bl Blanko Analisa Minyak Sawit (Oil Loss), SC/PR : 0010810374 ",10 BL BLANKO ANALISA MINYAK SAWIT OIL LOSS  SC PR  0010810374,10,
MASTER KEY GEMBOK TRUK CPO,MASTER KEY GEMBOK TRUK CPO,11,CPO
"20 Bl Blanko Bast Sample Despatch CPO, SC/PR : 0010658424  ",20 BL BLANKO BAST SAMPLE DESPATCH CPO SC PR  0010658424,20,
BLANKO SOUNDING PALM KERNEL,BLANKO SOUNDING PALM KERNEL,20,
Minyak Kelapa Sawit (CPO),MINYAK KELAPA SAWIT CPO,50,CPO
CPO-CRUDE PALM OIL,CPO CRUDE PALM OIL,93,CPO
"100 Bl Blanko Rekap Denda Grading TBS Plasma, SC/PR : XX ",100 BL BLANKO REKAP DENDA GRADING TBS PLASMA SC PR  0010798278,100,
VITAMIN A PALMITATE 1.7 m.I.U./g (0418579294) FO HS: 2936.21.00,VITAMIN A PALMITATE 1 7 M I U  G 0418579294 FO HS 2936 21 00,250,
Lebih Kirim Toleransi atas SPJB No : 088/XX/CPOXX/X/20XX,LEBIH KIRIM TOLERANSI ATAS SPJB NO  088 MMAL CBU CPO X 2021,300,CPO
Lebih Angkut Palm Kernel,LEBIH ANGKUT PALM KERNEL,378,
"CPO/Crude Palm Oil, Kontrak No.082/XX/XX/XX/20XX",CPO CRUDE PALM OIL KONTRAK NO 082 PSJ C CPO VII 2021,410,CPO
Tanaman Kelapa Sawit,TANAMAN KELAPA SAWIT,417,CPO
Penjualan Crude Palm Oil,PENJUALAN CRUDE PALM OIL,456,CPO
Lubang tanam Mekanis Sawit Div-6,LUBANG TANAM MEKANIS SAWIT DIV 6,473,CPO
CRUDE PALM OIL (CPO) HS CODE : 1511.10.00,CRUDE PALM OIL CPO HS CODE  1511 10 00,750.0800171,CPO
Palm Kernel,PALM KERNEL,1000,
Pelunasan freight inti sawit in basg PangkalBalam-Lampung,PELUNASAN FREIGHT INTI SAWIT IN BASG PANGKALBALAM LAMPUNG,1100,
PK (Palm Kernel),PK PALM KERNEL,1165,
Pelunasan freight  inti sawit curah Pangkal Balam-Lampung,PELUNASAN FREIGHT  INTI SAWIT CURAH PANGKAL BALAM LAMPUNG,1200,
Pelunasan freight inti sawit curah Kendawangan-Lampung,PELUNASAN FREIGHT INTI SAWIT CURAH KENDAWANGAN LAMPUNG,1204.449951,
PALM KERNEL RSPO-MB,PALM KERNEL RSPO MB,1370,
ONGKOS ANGKUT PALM KERNEL,ONGKOS ANGKUT PALM KERNEL,1450,
Pembayaran I freight inti sawit curah Kendawangan-Lampung,PEMBAYARAN I FREIGHT INTI SAWIT CURAH KENDAWANGAN LAMPUNG,1504.444946,
CRUDE PALM OIL,CRUDE PALM OIL,1760,CPO
Ongkos angkut CPO,ONGKOS ANGKUT CPO,1760,
FP 100% Freight Palm Kernel,FP 100 FREIGHT PALM KERNEL,1800,
TBS PER 16-30 JUN 2021 (TT 2012),TBS PER 16 30 JUN 2021 TT 2012,1894,TBS
CPO (Crude Palm Oil) ,CPO CRUDE PALM OIL,1999.920044,CPO
Palm Kernel,PALM KERNEL,2100,
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.052/XXX/C-CPO/XX/20XX",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 052 PSJ C CPO IV 2021,2160,CPO
Palm Kernel,PALM KERNEL,2170,
Palm Kernel,PALM KERNEL,2210,
CRUDE PALM OIL,CRUDE PALM OIL,2380,CPO
PK (Palm Kernel) Kontrak 022-PK.IMT/LIL/XI/2021,PK PALM KERNEL KONTRAK 022 PK IMT LIL XI 2021,2600,
CRUDE PALM OIL (CPO),CRUDE PALM OIL CPO,2980,CPO
"Pembayaran Uang Muka PK/Palm Kernel, No.Kontrak 077/XX/XX/XX/20XX",PEMBAYARAN UANG MUKA PK PALM KERNEL NO KONTRAK 077 PM C PK IV 2021,3080,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,3240,CPO
"Pembayaran Uang Muka PK/Palm Kernel, No.Kontrak 064/XX/C-PK/XX/20XX",PEMBAYARAN UANG MUKA PK PALM KERNEL NO KONTRAK 064 PM C PK IV 2021,3300,
Ongkos Angkut TBS DIV 7,ONGKOS ANGKUT TBS DIV 7,3340,
Tanaman Kelapa Sawit Batch 202201R121 PO4200159439,TANAMAN KELAPA SAWIT BATCH 202201R121 PO4200159439,3768,CPO
BIAYA HANDLING CPO,BIAYA HANDLING CPO,3919.510986,
"CPO/Crude Palm Oil, Kontrak No.117",CPO CRUDE PALM OIL KONTRAK NO 117 PSJ C CPO X 2021,4120,CPO
Penjualan CPO (257/SRM-CPO/PKU/IX/2021),PENJUALAN CPO 257 SRM CPO PKU IX 2021,4210,CPO
CRUDE PALM OIL,CRUDE PALM OIL,4230,CPO
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,4600,CPO
Crude Palm Oil (CPO) 4.910 Kg Kontrak 584,CRUDE PALM OIL CPO 4 910 KG KONTRAK 584 CPO SMN IMT XI 2021 PO 9100082531,4910,CPO
Palm Kernel (PK) 4.964 Kg Kontrak 281/KERNEL/,PALM KERNEL PK 4 964 KG KONTRAK 281 KERNEL SMN IMT X 2021 PO 9100081548,4964,
Crude Palm Oil,CRUDE PALM OIL,5000,CPO
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,5000,
Palm Kernel (PK) 5.000 Kg Kontrak 255/KERNEL/,PALM KERNEL PK 5 000 KG KONTRAK 255 KERNEL SMN IMT I 2021 PO 9100071911,5000,
CRUDE PALM OIL HS CODE 1511.10.00,CRUDE PALM OIL HS CODE 1511 10 00,5160,CPO
"PK/Palm Kernel, No.Kontrak 067/",PK PALM KERNEL NO KONTRAK 067 PM C PK IV 2021,5160,
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,5220,
CPO,CPO,5357,CPO
