,productName,type,confidenceLevel,explanation
0,ANALISA SAMPEL RBD PALM STEARIN,Service,1.0,This is a service for analyzing RBD Palm Stearin.
1,Aflatoxin B1 Qty 1 Sampel Palm Kernel Expell,Service,1.0,This is a service for analyzing Aflatoxin B1 in Palm Kernel Expelled.
2,Analisa Pengujian INSPEKSI MINYAK KELAPA SAWI,Service,1.0,This is a service for inspecting and testing Palm Oil.
3,Discarging Survey of CPO 2999998 MT at Kabil B,Service,1.0,This is a service for conducting a discharging survey of CPO at Kabil B.
4,Discarging Survey of CPO 3149193 MT at Kabil B,Service,1.0,This is a service for conducting a discharging survey of CPO at Kabil B.
5,KALIBRASI SOUNDING TAPE CPO,Service,1.0,This is a service for calibrating and testing Sounding Tape on CPO.
6,Loading Survey of CPO 2999998 MT at Dumai on 0,Service,1.0,This is a service for conducting a loading survey of CPO at Dumai on 0.
7,Loading Survey of CPO 3000301 MT at Tayan on 1,Service,1.0,This is a service for conducting a loading survey of CPO at Tayan on 1.
8,POSITIONERP520175209481 MANUFACTURERFLOWSERVE,Service,1.0,This is a service related to Positioner and Manufacturer Flowserve.
9,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1700094 KG,Product,1.0,This is a product of Fresh Fruit Oil Palm with the year of production 1999 and weight 1700094 kg.
10,Pengiriman Kecambah Sawit,Service,0.8,This is a service for delivery of palm leaves.
11,Residu Pesticide GMP PKE Qty 1 Sampel Palm K,Service,0.9,This is a service for testing a pesticide residue in palm.
12,SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA DIV,Service,0.9,This is a service for renting a road grader at a construction site.
13,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 199x,Product,0.9,This is a product of Fresh Fruit Oil Palm.
14,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 199...,Product,0.1,This is a product of Fresh Fruit Oil Palm
15,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 199...,Product,0.9,This is a product of Fresh Fruit Oil Palm
16,Termin 4 7617 Pekerjaan Design and Build Gas H...,Service,0.8,This is a service for design and build gas project
17,Uang Muka II Crude Palm Oil CPO,Product,0.95,This is a product of crude palm oil
18,5 Bl Blanko Sounding Palm Kernel SCPR 0010662...,Service,0.9,This is a service for sounding palm kernel
19,PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL 18...,Service,0.95,This is a service for painting CPO with Jotun Hardtop XP
20,MASTER KEY GEMBOK TRUK CPO,Product,0.95,This is a product of master key for CPO truck
21,10 Bl Blanko Analisa Minyak Sawit Oil Loss SCP...,Service,0.9,This is a service for analyzing palm oil loss
22,MASTER KEY GEMBOK TRUK CPO,Product,0.95,This is a product of master key for CPO truck
23,BLANKO SOUNDING PALM KERNEL,Service,0.9,This is a service for sounding palm kernel
24,BLANKO SOUNDING PALM KERNEL,Product,0.1,This is a product with unknown meaning
25,Minyak Kelapa Sawit CPO,Product,1.0,This is a product of Crude Palm Oil
26,CPOCRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
27,Lebih Angkut Palm Kernel,Product,1.0,This is a product of Palm Kernel
28,VITAMIN A PALMITATE,Product,1.0,This is a product of Vitamin A Palmitate
29,Lebih Kirim Toleransi atas SPJB No ,Service,0.9,This is a service for sending tolerances based on SPJB number
30,Lebih Kirim Toleransi atas SPJB No ,Service,0.9,This is a service for sending tolerances based on SPJB number
31,CPOCrude Palm Oil Kontrak No,Product,1.0,This is a product of Crude Palm Oil under contract
32,Penjualan Crude Palm Oil,Product,1.0,This is a sale of Crude Palm Oil
33,Lubang tanam Mekanis Sawit Div6,Service,0.9,This is a mechanical planting pit service for palm oil
34,CRUDE PALM OIL CPO HS CODE 15111000,Product,1.0,This is a raw material of palm oil.
35,Palm Kernel,Product,1.0,This is a processed product from palm oil.
36,Pelunasan freight inti sawit in basg PangkalBa,Service,1.0,This is a service for payment of palm oil freight.
37,PK Palm Kernel,Product,1.0,This is a processed product of palm kernel.
38,Pelunasan freight inti sawit curah Pangkal Ba,Service,1.0,This is a service for payment of palm oil transportation.
39,Pelunasan freight inti sawit curah Kendawangan,Service,1.0,This is a service for payment of palm oil transportation.
40,Pembayaran I freight inti sawit curah Kendawan,Service,1.0,This is a service for payment of palm oil transportation.
41,CRUDE PALM OIL,Product,1.0,This is a raw material of palm oil.
42,Ongkos angkut CPO,Service,1.0,This is a service for transportation cost of Crude Palm Oil.
43,FP 100 Freight Palm Kernel,Service,1.0,This is a freight service for Palm Kernel.
44,CPO Crude Palm Oil,Product,1.0,This is a raw material of Crude Palm Oil.
45,Palm Kernel,Product,1.0,This is a raw material of Palm Kernel.
46,Pembayaran Uang Muka CPOCrude Palm Oil Kontrak...,Service,1.0,This is a payment for Crude Palm Oil contract.
47,CRUDE PALM OIL,Product,1.0,This is a raw material of Crude Palm Oil.
48,PK Palm Kernel Kontrak 022PKIMTLILXI2021,Product,1.0,This is a contract of Palm Kernel.
49,CRUDE PALM OIL CPO,Product,1.0,This is a raw material or processed product from palm oil.
50,Pembayaran Uang Muka PKPalm Kernel NoKontrak 0...,Service,1.0,This is a payment service related to palm kernel contract.
51,PENJUALAN CRUDE PALM OIL,Product,1.0,This is a sale of crude palm oil.
52,BIAYA HANDLING CPO,Service,1.0,This is a handling fee service for crude palm oil.
53,CPOCrude Palm Oil Kontrak No117,Product,1.0,This is a contract sale of crude palm oil.
54,Penjualan CPO 257SRMCPOPKUIX2021,Product,1.0,This is a sale of crude palm oil with the given contract details.
55,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
56,PENJUALAN CRUDE PALM OIL,Product,1.0,"This is a sale of Crude Palm Oil, which is considered as a raw material or processed product from palm oil."
57,Crude Palm Oil CPO 4910 Kg Kontrak 584,Product,1.0,This is a sale of Crude Palm Oil with the contract number 584 and quantity 4910 kg.
58,Palm Kernel PK 4964 Kg Kontrak 281KERNEL,Product,1.0,This is a sale of Palm Kernel with the contract number 281 and quantity 4964 kg.
59,Crude Palm Oil,Product,1.0,This is a Crude Palm Oil sale with no further details provided in the name.
60,PENJUALAN PALM KERNEL,Product,1.0,This is a sale of Palm Kernel with no further details provided in the name.
61,PKPalm Kernel NoKontrak 067,Product,1.0,"This is a Palm Kernel sale without any contract information, only the number 067 is provided."
62,CRUDE PALM OIL HS CODE 15111000,Product,1.0,This is a Crude Palm Oil sale with the Harmonized System (HS) code 15111000.
63,PENJUALAN 5690 KG CPO,Service,1.0,This is a service for selling CPO in the amount of 5690 kg.
64,Minyak Sawit CPO,Product,1.0,This is a product of Crude Palm Oil (CPO) in the amount of 5487 kg.
65,TBS PER 1631 MEI 2021 TT 2009,Product,1.0,This is a product of palm fruit bunches with the tag number TBS PER 1631 MEI 2021 TT 2009 in the amount of 5805 kg.
66,CPO NO C02CASSTNXIXX,Product,1.0,This is a product of Crude Palm Oil (CPO) with the tag number CPO NO C02CASSTNXIXX in the amount of 5850 kg.
67,Ongkos Angkut TBS DIV 4,Service,1.0,This is a service for transportation costs of palm fruit bunches from division 4.
68,CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil in the amount of 6430 kg.
69,CRUDE PALM OIL FFA 5 max MI 05 max,Product,1.0,This is a product of Crude Palm Oil Free Fatty Acid (FFA) with a maximum of 5% free fatty acid and a maximum of 5% moisture in the amount not provided.
70,PENJUALAN 7100 KG CPO,Service,1.0,This is a service for selling CPO in the amount of 7100 kg.
71,Palm Kernel PK,Product,1.0,This is a product of Palm Kernel in the amount not provided.
72,Palm Kernel Inti Sawit,Product,1.0,This is a product of Palm Kernel Inti Sawit (Fresh Fruit Oil Palm) in the amount not provided.
73,CPO,Product,1.0,This is a raw material or processed product from palm oil.
74,CPO KONTRAK JUAL BELI NOC02XX,Product,1.0,This is a contract sale of CPO.
75,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
76,PALM KERNEL,Product,1.0,This is a raw material or processed product from palm oil.
77,TBS Periode 07 Maret 2021,Service,0.8,This seems to be a service related to TBS for the period of March 2021.
78,Penjualan CPO 015CPOCC,Service,0.8,This seems to be a sale transaction for CPO.
79,PK PALM KERNEL,Product,1.0,This is a product of Palm Kernel.
80,CRUDE PALM OIL CPO SESUAI KONTRAK NO SO0012XXX...,Product,1.0,This is a product of Crude Palm Oil that matches the contract number SO0012XXX.
81,PKPalm Kernel NoKontrak,Product,1.0,This is a product of Palm Kernel
82,CPOCrude Palm Oil NoKontrak,Product,1.0,This is a product of Crude Palm Oil
83,PALM KERNEL,Product,1.0,This is a product of Palm Kernel
84,Ongkos Angkut TBS DIV 3,Service,1.0,This is a service for the cost of transporting palm oil within TBS division 3
85,CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
86,CPO KONTRAK JUAL BELI NOCXXXXXX,Service,1.0,This is a service for the sale and purchase agreement of Crude Palm Oil with contract number NOCXXXXXX
