NamaBarang,JumlahBarang,type,category,confidenceLevel,explanation,quantity
ANALISA SAMPEL RBD PALM STEARIN,1.0,product,Primary,1.0,"The text refers to a sample of palm stearin, which is a primary product derived from the oil palm fruit.",100
Aflatoxin B1 Qty  1 Sampel  Palm Kernel Expeller PKE Kode Sampel  PKE KCP DUM305 Tanggal Sampling  01 November 2021 Jasa Uji Laboratorium KJU No  XX  XX ,1.0,product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is used as an input material for palm oil processing.,1
Analisa  Pengujian INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA dan Analisa  Pengujian 1 Sa,1.0,service,Maintenance/Repair Service,0.8,"The text mentions the inspection of palm oil and its byproducts, which falls under the category of maintenance or repair service.",1
Discarging Survey of CPO 2999998 MT at Kabil Batam on 1416122021,1.0,service,Transport service,0.95,The text mentions 'Discarging Survey of CPO' which indicates that the product is related to transportation and logistics services.,1
Discarging Survey of CPO 3149193 MT at Kabil Batam on 2628102021,1.0,service,Transport service,0.9,Discarging survey of CPO refers to the process of unloading the cargo from a ship.,1
KALIBRASI SOUNDING TAPE CPO,1.0,product,Primary,1.0,Kalibrassi sounding tape is a tool used in the processing of palm oil.,1
Loading Survey of CPKO 1999887 MT and CPO 2503809 MT at Dumai on 1516102021,1.0,service,Transport service,0.9,Loading Survey of CPKO 1999887 MT and CPO 2503809 MT at Dumai on 1516102021 is a transport service,0
Loading Survey of CPO 2999998 MT at Dumai on 0607122021,1.0,product,Primary,1.0,The text refers to the loading of crude palm oil (CPO) which is a primary product derived from the oil palm fruit.,2999998
Loading Survey of CPO 3000301 MT at Tayan on 1920102021,1.0,service,Transport service,0.8,Loading Survey of CPO 3000301 MT at Tayan on 1920102021 is a transportation service for palm oil products.,1
POSITIONERP520175209481 MANUFACTURERFLOWSERVE FOR CPO WASHINGFORREF SCPR1000111222,1.0,product,Primary,1.0,"The text refers to a product related to palm oil processing, specifically a washing machine for CPO (Crude Palm Oil) ",1
Pengiriman Kecambah Sawit,1.0,service,Transport service,0.8,Pengiriman Kecambah Sawit is a transportation service for palm oil products.,1
Residu Pesticide GMP PKE Qty  1 Sampel  Palm Kernel Expeller PKE Kode Sampel  PKE KCP DUM305 Tanggal Sampling  01 November 2021 Jasa Uji Laboratorium KJU No  XX  XX,1.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,1
SEWA ALAT BERAT ROAD GRADDER LOKASI KERJA  DIV 12345 AKSES CPO DENGAN HASIL PEKERJAAN 25200  HM X RP 375000,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,25200
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1081230 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,1081230
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1994 1190024 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,1190024
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 4907412 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,4907412
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5276210 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,5276210
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1995 5701628 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,5701628
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 12217767 KG,1.0,product,Primary,0.8,Palm kernel is a primary part of the oil palm fruit.,12217767
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13269963 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,13269963
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13269963 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,13269963
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1996 13609592 KG,1.0,product,Primary,1.0,Palm oil fruit is a primary product of the palm oil industry.,13609592
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7184896 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,7184896
